<new sheet>
sheet_name: Sheet1
,Inflows and outflows of the CSE market ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD Mn
,,,,,(USD Mn),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month,Primary Market Inflows,Secondary Market ,,CSE net Inflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inflows,Outflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-08-01 00:00:00,6.658065013934026e-05,12.228357732191439,9.644864747295513,2.583559565546066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-09-01 00:00:00,0.009222077029943473,50.612621223900895,9.997799666779944,40.624043634150894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-10-01 00:00:00,0.413054253589224,8.995740186254578,2.146845522742673,7.261948917101128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-11-01 00:00:00,0,5.016871948028332,5.477290071976187,-0.4604181239478544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-12-01 00:00:00,1.3470664355248367,38.857589313573044,2.954189524790828,37.250466224307054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total - 2022,102.59296772785714,227.4547798276014,148.1992280250044,181.84851953045418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-01-01 00:00:00,0.10589774607845769,4.473995102834463,3.3337257239229237,1.2461671249899968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-02-01 00:00:00,0.0762756455966085,16.260588368023452,8.426711864043563,7.910152149576499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-03-01 00:00:00,0.005487890582899953,12.0073434679832,20.01675854067232,-8.00392718210622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-04-01 00:00:00,0,7.209462546881265,4.446236060590931,2.7632264862903337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-05-01 00:00:00,0,4.585901197371031,5.189805548472633,-0.603904351101602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-06-01 00:00:00,0.2135832451692456,6.161376523652345,7.2602896163607875,-0.8853298475391966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-07-01 00:00:00,0,19.35953860461323,12.377195896468317,6.982342708144914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-01 00:00:00,0.3160370583633052,24.33302324663345,18.61938072747268,6.029679577524075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-10-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total - 2023,0.7172815857905169,94.39122905799242,79.67010397800416,15.4384066657788,,,,,,,,,,,,,,,,,,,,,,,,,,,,

