<new sheet>
sheet_name: HS codes Export Classification 
HS Codes related to 2007-Jan 2023 Export Classification (a),,,
No.,Major Category,Minor Category,HSCO
557,Agricultural exports,Natural rubber,40012911
558,Agricultural exports,Natural rubber,40012912
559,Agricultural exports,Natural rubber,40012913
560,Agricultural exports,Natural rubber,40012914
561,Agricultural exports,Natural rubber,40012919
562,Agricultural exports,Natural rubber,40012920
563,Agricultural exports,Natural rubber,40012930
564,Agricultural exports,Natural rubber,40012940
565,Agricultural exports,Natural rubber,40012950
566,Agricultural exports,Natural rubber,40012960
567,Agricultural exports,Natural rubber,40012970
568,Agricultural exports,Natural rubber,40012990
569,Agricultural exports,Sea Food,030211
570,Agricultural exports,Sea Food,030212
571,Agricultural exports,Sea Food,030214
572,Agricultural exports,Sea Food,030219
573,Agricultural exports,Sea Food,030221
574,Agricultural exports,Sea Food,030222
575,Agricultural exports,Sea Food,030223
576,Agricultural exports,Sea Food,030224
577,Agricultural exports,Sea Food,030229
578,Agricultural exports,Sea Food,030231
