<new sheet>
sheet_name: 4.02
,,Monetary Aggregates,,,Broad Money (M2b) - Use Side,,,,,,Broad Money (M2b) - Source Side,,,,,,,,,,,
,,,Rs. Million,,,,,,Rs. Million,,,,,,,,,,,,,Rs. Million
,,Reserve Money (M0)  (a),Broad Money (M2) (b),,Currency held by the Public,Demand Deposits held by the Public,"Narrow Money (M1) 
(c)    
 (1) + (2)",Time and Savings Deposits held by the Public,"Broad Money (M2b) 
(d)            
 (3) + (4)",,Net Foreign Assets of Monetary Authorities (e),Net Foreign Assets of Commercial Banks ,"Net Foreign Assets (NFA) 
(5) + (6)",Net Credit granted to the Government by Central Bank,Net Credit granted to the Government by Commercial Banks,"Net Credit granted to the Government (NCG)
(8) + (9)",Credit granted to Public Corporations by Commercial Banks,Credit granted to the Private Sector by Commercial Banks ,"Domestic Credit 
(10) + (11) + (12)",Other Items (net) ,"Net Domestic Assets  (NDA)       
 (13) + (14)","Broad Money (M2b)
 (7) + (15)"
,,,,,-1,-2,-3,-4,,,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,
,2005-12-01 00:00:00,197932,822932,,114069.751651,116631.543838,230701.29548899998,791575.9642972256,1022277.2597862256,,196925.1,4404.524729477576,201329.62472947757,74423.32999999999,175141.38419766753,249564.71419766752,16671.883897,801148.623462682,1067385.2215573494,-246437.57431227525,820947.6472450742,1022277.2719745517
,2006-01-01 00:00:00,196864,834273,,111723.813506,118319.17924200001,230042.99274800002,810501.5102641175,1040544.5030121175,,207405.3,5073.970206018188,212479.27020601818,66253.8,190645.42888852867,256899.22888852865,14947.696804,808689.1755495013,1080536.10124203,-252472.06843593073,828064.0328060993,1040543.3030121175
,2006-02-01 00:00:00,203030,849000,,115640.387735,115667.84549699999,231308.23323199997,827625.5550518571,1058933.788283857,,217097.80000000008,2348.595047674622,219446.3950476747,61870.90000000001,200403.85660803074,262274.75660803076,15048.619069,820041.5084027465,1097364.8840797772,-257877.42084359485,839487.4632361823,1058933.8582838571
,2006-03-01 00:00:00,217168,862733,,121041.856108,113132.677989,234174.53409700003,835205.5935921351,1069380.1276891353,,215040,15720.236209613387,230760.2362096134,79019.3,185258.29173567536,264277.59173567535,15742.520477999999,833390.6690299776,1113410.781243653,-274790.8897641312,838619.8914795218,1069380.1276891353
,2006-04-01 00:00:00,216094,878328,,118780.47956400001,119192.314218,237972.79378200002,846684.3961017244,1084657.1898837243,,219681,6886.886070964989,226567.88607096497,77601,190877.69206919076,268478.6920691908,18634.050126000002,841297.2240924023,1128409.9662875931,-270320.66247583367,858089.3038117595,1084657.1898827245
,2006-05-01 00:00:00,212027,876163,,117357.271688,116663.269726,234020.54141399998,846156.8021210586,1080177.3435350587,,214979.10000000003,-3655.577437728425,211323.52256227162,83208.7,186979.96094454918,270188.6609445492,17874.586029,861261.5663627806,1149324.8133363298,-280470.9923635427,868853.820972787,1080177.3435350587
,2006-06-01 00:00:00,212418.7,887778.7,,118104.31471900002,120038.80999699999,238143.124716,846690.3769521865,1084833.5016681864,,218532.69999999998,-25210.09346008669,193322.60653991328,78329.80000000002,191871.70855391235,270201.5085539124,16372.795597,878874.8357810176,1165449.13993193,-273938.2448036568,891510.8951282732,1084833.5016681864
,2006-07-01 00:00:00,214844.8,895241.6,,119434.64087900001,117449.006561,236883.64744000003,858163.389282434,1095047.036722434,,221124.3,-36753.24659953998,184371.05340046,82043.49999999999,189425.4913033628,271468.99130336277,18981.377634,895783.483632204,1186233.8525695668,-275557.8692475927,910675.983321974,1095047.036722434
,2006-08-01 00:00:00,213894.9,906552.6,,121482.10650000001,117139.88289299999,238621.989393,858566.3996518715,1097188.3890448716,,221041.60000000006,-43599.162912691594,177442.43708730847,80415.90000000001,188127.28677977435,268543.1867797744,18722.375491,906555.7988243412,1193821.3610951155,-274075.4091285524,919745.9519665631,1097188.3890538716
,2006-09-01 00:00:00,222140.4,919003.7,,124811.281931,114712.482266,239523.764197,876704.5143159761,1116228.2785129761,,208101.62999999992,-41561.35355819249,166540.27644180742,103590.5,171817.70320721087,275408.20320721087,21549.863395,929597.226929144,1226555.293531355,-276867.30146118626,949687.9920701687,1116228.268511976
,2006-10-01 00:00:00,225512.9,952857.7,,125774.08266699998,120538.596043,246312.67870999998,908990.5038045172,1155303.182514517,,214913.09999999995,-48068.793308966386,166844.30669103356,108322.6,209224.59674092915,317547.19674092915,23422.922254999998,954846.5053231872,1295816.6243191164,-307357.78849663277,988458.8358224835,1155303.142513517
,2006-11-01 00:00:00,226627.3,968095.5,,125814.565239,117200.968052,243015.533291,933354.151736234,1176369.685027234,,228609.32999999996,-67371.78101551998,161237.54898447997,102096.42,231077.72039175394,333174.1403917539,33601.082516,974541.60365084,1341316.826558594,-326184.67051683995,1015132.156041754,1176369.705026234
,2006-12-01 00:00:00,239863,993264.8,,135019.548658,124665.021934,259684.57059200003,944865.7760204787,1204550.3466124786,,229859.51600000006,-58668.716907648006,171190.79909235204,112942.02,244347.20778860035,357289.2277886004,31554.622604521603,993159.4271347552,1382003.2775278771,-348643.7040067504,1033359.5735211268,1204550.372613479
,2007-01-01 00:00:00,236781.9,996575.1,,131568.248078,123779.121863,255347.369941,952755.766422097,1208103.136363097,,233047.25000000003,-67175.19477164703,165872.055228353,108029.51999999999,242328.21038300794,350357.7303830079,31081.904938,1008959.645208017,1390399.280529025,-348168.199395281,1042231.081133744,1208103.136362097
,2007-02-01 00:00:00,237920.3,1013890.5,,133942.989565,125972.921247,259915.910812,974874.6686979893,1234790.5795099894,,238758.74,-55350.0460086626,183408.69399133738,104260.65,255578.11523049272,359838.7652304927,31728.127721999997,1029607.8621247737,1421174.7550772664,-369792.91955861443,1051381.8355186519,1234790.5295099893
,2007-03-01 00:00:00,252954,1032542.4,,141926.140434,124842.565836,266768.70626999997,991772.904247354,1258541.610517354,,260105.58900000004,-61644.70609929122,198460.88290070882,100910.4,253047.13545618116,353957.53545618115,31175.868774,1045907.8996696873,1431041.3038998684,-370960.62728322315,1060080.6766166452,1258541.559517354
,2007-04-01 00:00:00,249337.1,1046387.7,,137052.931459,127469.259061,264522.19052,1001881.67489519,1266403.86541519,,269859.51,-79367.28547810053,190492.22452189948,90480.51999999999,239650.35758825578,330130.8775882558,35677.9050612409,1064347.9031170132,1430156.6857665097,-354244.9748732192,1075911.7108932906,1266403.9354151902
,2007-05-01 00:00:00,246220,1050538,,136024.398589,130919.78038400001,266944.17897300003,1015325.0984084724,1282269.2773814723,,268274.5000000001,-88797.55896292637,179476.94103707373,89122.2,262987.0959978115,352109.29599781154,32905.566409,1086373.5143886127,1471388.3767954241,-368596.4414500256,1102791.9353453985,1282268.8763824722
,2007-06-01 00:00:00,247846,1063012,,136383.580781,123017.198363,259400.779144,1034623.3821949939,1294024.1613389938,,261397.06999999998,-89552.27453700002,171844.79546299996,100137.22,271310.28357999393,371447.50357999397,40939.785896,1093808.591346,1506195.880821994,-384016.495948,1122179.3848739942,1294024.1803369941
,2007-07-01 00:00:00,247209,1068052,,136218.676391,119020.667515,255239.34390599997,1057761.940996065,1313001.284902065,,258030.79999999993,-59449.956542999964,198580.84345699998,108320.1,269067.15270206495,377387.2527020649,39118.80663,1110690.317394,1527196.3767260648,-412775.73628099996,1114420.6404450648,1313001.4839020646
