<new sheet>
sheet_name: Assets

Banking Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assets, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Tier 2 Capital (Before Regulatory Adjustments),32117.788,32719.629,33772.904,42778.107,43594.178,42818.443,40999.912,40113.216,39995.857,44269.868,44916.315,42226.321,41328.66,39511.674,42077.462,49763.194,51079.476,53911.779,52983.724,57443.449,67183.428,73460.954,74099.92,93602.917,93565.31,90979.207,96921.495,102184.914,103586.67,106525.457,107367.286,112896.887,125425.023,125916.183,130222.33,160480.421,158257.5,159788.855,149194.722,156523.116,190752.319,189301.121,203565.127,204213.739,204257.248,209416.935,231700.557,238429.343,231614.992,226619.859,252268.297,248941.584,240009.7222838856,250074.295,260531.796,263205.978
Deductions/Adjustments (Tier II),4426.82,4153.055,4423.86,4479.772,4540.112,4369.999,4880.519,5732.37,5936.282,6754.754,6721.945,6920.828,7151.335,7305.296,7177.569,8018.974,7935.902,8008.114,8093.401,7694.724,7563.818,7453.367,7724.293,8235.501,7989.37,8258.646,8765.538,9264.46,9762.326,9807.695,9948.723,11622.235,11762.845,11859.466,12136.405,13879.264,13993.799,14528.535,2494.712,2374.326,3117.022,3124.251,3006.776,2563.661,2563.161,2540.712,2821.813,2454.583,2215.044,2034.226,1934.816,1216.017,1003.199,820.173,485.089,289.572
Capital Base (Regulatory Capital),167110.299,171182.514,172489.168,197795.762,194822.606,196209.953,194602.34,209716.862,208639.276,214762.599,223264.293,244767.857,243526.953,248542.716,265828.178,312931.977,307123.949,320035.036,325176.853,373521.805,375534.227,389645.535,396190.627,465391.102,459822.378,466558.076,491081.415,535672.867,529396.81,541518.182,546846.422,607915.672,613867.131,628455.165,639740.541,727786.608,722165.766,760281.597,776606.364,826733.853,884307.021,920393.572,968324.839,1020877.802,1013155.447,1056157.709,1085430.845,1100403.105,1130062.654,1129315.473,1152848.167,1175552.919,1197286.699719435,1229086.355,1250295.067,1266396.108


Licensed Specialised Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Constitutents of Regulatory Capital, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Tier 1 Capital (Before Regulatory Adjustments),33973.163,35045.856,35084.876,20926.398,36218.823,37190.214,37290.382,42331.696,40515.179,41572.564,48793.998,58079.906,54994.965,57744.178,57640.423,68048.814,61456.128,62778.007,62748.706,67053.281,64092.565,66013.842,66285.743,68909.816,68305.732,68727.848,68721.68,79926.957,76918.732,79265.691,79259.945,59823.419,57510.613,57977.143,53820.962,56746.925,56816.003,62163.451,58782.656,64324.748,65369.368,66272.569,65214.244,78371.97,70799.479,72120.118,72503.338,70048.14,70405.4,71469.045,72448.308,78247.005,88937.872,87765.22,91313.186,89505.647
Deductions/Adjustments (Tier I),7245.185,7233.081,7204.235,2874.253,6332.011,6544.717,6328.074,5714.256,6204.646,6855.179,6014.196,7596.896,7670.361,8276.478,8745.246,9003.376,9001.999,8832.732,9063.373,8948.665,9169.945,8999.15,9009.686,10280.377,10178.249,10221.663,10376.616,10258.559,10318.977,10487.267,10746.417,6498.291,3967.608,4021.929,4319.086,4190.323,4665.861,4847.22,6122.521,6497.501,6424.102,6174.483,6150.85,6986.162,6222.572,6252.334,6372.212,6553.051,5633.811,6049.222,6815.413,6318.111,7379.392,8175.158,8781.957,9199.873
Tier 1 Capital (After Regulatory Adjustments),26727.978,27812.775,27880.641,18052.145,29886.812,30645.497,30962.308,36617.44,34310.533,34717.385,42779.802,50483.01,47324.604,49467.7,48895.177,59045.438,52454.129,53945.275,53685.333,58104.616,54922.62,57014.692,57276.057,58629.439,58127.483,58506.185,58345.064,69668.398,66599.755,68778.424,68513.528,53325.128,53543.005,53955.214,49501.876,52556.602,52150.142,57316.231,52660.135,57827.247,58945.266,60098.086,59063.394,71385.808,64576.907,65867.784,66131.126,63495.089,64771.589,65419.823,65632.895,71928.894,81558.48,79590.062,82531.229,80305.774
Tier 2 Capital (Before Regulatory Adjustments),2671.975,2433.589,2546.708,2027.107,2613.171,2512.095,2582.153,2711.171,2742.62,2540.235,2785.541,4040.321,4008.399,2064.143,2008.503,3066.285,1991.078,2028.051,2414.726,2415.462,1885.92,1913.379,1818.52,1909.19,1960.638,2040.201,2023.351,2299.341,4411.509,4572.238,4569.532,4207.091,4310.753,4410.151,4493.981,10603.792,11455.68,11837.254,11919.152,15526.372,14774.48,14134.857,13664.679,12719.971,12149.921,13522.973,14040.987,19293.917,19017.649,18758.488,18461.805,18006.072,18553.758,18112.956,17679.7,16964.565
Deductions/Adjustments (Tier II),7161.429,7156.933,7126.48,2843.877,6301.137,6482.05,6260.565,5607.713,6088.293,6742.979,5784.649,5225.845,5299.31,5905.427,6383.288,6150.881,6555.381,6366.412,6596.194,6534.785,6667.664,6588.966,6500.532,7700.081,7626.64,7709.456,7892.251,7753.487,7826.152,7996.899,8259.559,4132.995,3754.537,3816.787,3971.988,3796.996,3791.933,4352.381,2890.855,2788.957,2789.364,2792.127,2794.487,2598.416,2584.288,2445.908,2057.105,2088.335,2063.288,1917.515,1967.566,109.886,61.08,113.976,108.055,55.563
Capital Base (Regulatory Capital),22238.524,23089.431,23300.869,17235.375,26198.846,26675.542,27283.896,33720.898,30964.86,30514.641,39780.694,49297.486,46033.693,45626.416,44520.392,55960.842,47889.826,49606.914,49503.865,53985.293,50140.876,52339.105,52594.045,52838.548,52461.481,52836.93,52476.164,64214.252,63185.112,65353.763,64823.501,53399.224,54099.221,54548.578,50023.869,59363.398,59813.889,64801.104,61688.432,70564.662,70930.382,71440.816,69933.586,81507.363,74142.54,76944.849,78115.008,80700.671,81725.95,82260.796,82127.134,89825.08,100051.158,97589.042,100102.874,97214.776

* Provisional Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

<new sheet>
sheet_name: Constituents of RWA

Banking Sector ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Weighted Assets, Rs Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Risk Weighted Amount for Credit Risk,1227342.663,1265984.023,1302683.398,1298528.292,1345286.129,1291059.082,1273184.232,1236288.919,1245073.249,1268081.178,1366938.001,1473778.207,1570346.68,1630714.102,1780044.166,1900506.564,2017930.862,2106953.141,2139827.159,2203771.126,2254753.689,2316756.68,2414182.586,2485906.941,2525440.035,2573851.657,2696202.936,2951932.203,3093603.244,3223628.105,3437834.725,3677925.834,3813510.984,3980006.395,4221278.471,4383400.782,4517860.169,4707626.922,4895323.435,5064443.736,5458811.07,5597476.72,5918908.104,6159704.91,6167147.971,6145994.048,6325638.869,6450633.672,6684752.307,6587343.71,6700850.193,6875321.017,7034239.175809649,7308164.356,7483754.612,7392258.048
Risk Weighted Amount for Market Risk,29142.64,30287.74,27418.91,18217.13,32809.97,36846.93,38200.83,37412.78,40075.26,49817.1,85455.34,67797.343,66749.11,73243.27,69632.07,63776.09,48710.06,79361.74,51700.2,49646.63,50145.62,61851.07,63695.19,64674.99,81267.4,105924.83,102586.95,104191.87,105890.97,113755.36,123567.06,126395.66,134937.1,141989.41,143039.5,125210.58,151991.45,150921.93,128335.606,114060.244,134033.015,123149.869,127089.599,110554.593,144558.469,144541.042,141535.594,138966.054,169409.636,148123.555,164856.797,151721.813,161830.66780541677,161083.012,176297.222,156476.011
Risk Weighted Amount for Operational Risk,168189.068,169605.32,169450.407,183056.338,195030.348,206368.832,206526.663,227291.206,239291.66,238711.201,244296.985,273129.425,278143.35,278857.659,280141.656,304681.398,311755.182,311456.283,311456.284,347677.11,355856.472,358358.723,358561.34,392825.46,398623.416,402244.706,424451.43,442182.397,439862.25,462297.07,475189.82,486976.89,504985.86,518970.44,535521.34,550204.96,566316.07,588202.66,537257.807,534304.46,489779.407,485824.475,499800.306,516937.96,495677.093,509576.337,520820.403,541831.662,583259.439,587448.292,595461.068,613160.67,635218.4805833333,653518.451,670658.802,691354.639
Total Risk Weighted Assets,1424674.371,1465877.083,1499552.715,1499801.76,1573126.447,1534274.844,1517911.725,1500992.905,1524440.169,1556609.479,1696690.326,1814704.975,1915239.14,1982815.031,2129817.892,2268964.052,2378396.104,2497771.164,2502983.643,2601094.866,2660755.781,2736966.473,2836439.116,2942133.049,3005330.851,3082021.193,3223241.316,3498306.47,3639356.464,3799680.535,4036591.605,4291298.384,4453433.944,4640966.245,4899839.311,5058816.322,5236167.689,5446751.512,5560916.85,5712808.44,6082623.491,6206451.064,6545798.007,6787197.462,6807383.532,6800111.426,6987994.866,7131431.387,7437421.382,7322915.555,7461168.057,7640203.502,7831288.3251984,8122765.82,8330710.636,8240088.698


Licensed Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Weighted Assets, Rs Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Risk Weighted Amount for Credit Risk,1116583.972,1153332.498,1191029.718,1231671.473,1227691.757,1176709.924,1163747.304,1129510.277,1134724.118,1158692.315,1234066.329,1327750.726,1414932.741,1470039.048,1611327.069,1714620.902,1827058.559,1913437.947,1946058.798,2004095.536,2050361.879,2101852.179,2200681.942,2261931.367,2292729.987,2333067.645,2447187.145,2670243.171,2801312.666,2919708.102,3108924.895,3421051.02,3541307.906,3708957.981,3933950.986,4087968.154,4200197.72,4371834.22,4550708.174,4708219.633,5074847.244,5202068.31,5527013.227,5752556.345,5748693.492,5715851.259,5893391.608,6005848.137,6223260.435,6113959.279,6207356.59,6353665.118,6497299.8898096485,6752099.531,6914756.235,6821820.437
Risk Weighted Amount for Market Risk,24565.18,25705.47,22927.22,16359.47,26801.33,27994.94,26335.8,27608.73,30383.74,37196.21,57089.57,48750.72,49570.86,56698.25,52673.67,46711.35,33282.36,65421.99,35020.43,32444.03,33306.93,48982.57,54679.85,50498.51,67946.37,90076.52,88364.42,88314.23,93038.25,101156.07,110441.03,111180.27,119818,122490.64,117736.39,97335.18,122753.41,121156.1,99609.583,91211.692,112802.504,100481.964,116211.828,99112.356,133659.119,137122.321,134537.901,128522.966,162027.501,137631.325,153120.4,140054.233,150883.88280541677,150349.675,164034.017,146180.381
Risk Weighted Amount for Operational Risk,149505.556,150322.313,150167.4,175540.269,182767.63,184618.075,184769.81,201976.539,214044.331,212941.685,213528.038,235933.736,241297.365,239985.881,241220.63,261025.422,267120.38,266887.418,266887.419,300675.003,309834.392,310871.879,311265.966,348487.391,350637.796,357993.012,378584.99,393885.017,399368.62,410340.75,421008.96,437093.55,451228.46,461968.92,475284.64,485476.11,500333.14,519464.66,480862.221,475277.385,434663.94,428840.855,443442.577,459704.308,441344.369,453779.709,463886.722,479403.014,518505.189,523702.484,529185.75,543800.879,560427.0465833333,575767.915,590200.272,605578.26
Total Risk Weighted Assets,1290654.708,1329360.281,1364124.338,1423571.212,1437260.717,1389322.939,1374852.914,1359095.546,1379152.189,1408830.21,1504683.937,1612435.182,1705800.966,1766723.179,1905221.369,2022357.674,2127461.299,2245747.355,2247966.647,2337214.569,2393503.201,2461706.628,2566627.758,2659642.926,2711314.153,2781137.177,2914136.555,3152442.418,3293719.536,3431204.922,3640374.885,3969324.84,4112354.366,4293417.541,4526972.016,4670779.444,4823284.27,5012454.98,5131179.98,5274708.71,5622313.688,5731391.129,6086667.63,6311373.007,6323696.979,6306753.289,6491816.231,6613774.116,6903793.124,6775293.086,6889662.739,7037520.232,7208610.8201984,7478217.121,7668990.523,7573579.078


Licensed Specialised Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Weighted Assets, Rs Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Risk Weighted Amount for Credit Risk,110758.691,112651.525,111653.68,66856.819,117594.372,114349.158,109436.928,106778.642,110349.131,109388.863,132871.672,146027.481,155413.939,160675.054,168717.097,185885.662,190872.303,193515.194,193768.361,199675.59,204391.81,214904.501,213500.644,223975.574,232710.048,240784.012,249015.791,281689.032,292290.578,303920.003,328909.83,256874.814,272203.078,271048.414,287327.485,295432.628,317662.449,335792.702,344615.261,356224.103,383963.826,395408.41,391894.877,407148.565,418454.479,430142.789,432247.261,444785.535,461491.872,473384.431,493493.603,521655.899,536939.286,556064.825,568998.377,570437.611
Risk Weighted Amount for Market Risk,4577.46,4582.27,4491.69,1857.66,6008.64,8851.99,11865.03,9804.05,9691.52,12620.89,28365.77,19046.623,17178.25,16545.02,16958.4,17064.74,15427.7,13939.75,16679.77,17202.6,16838.69,12868.5,9015.34,14176.48,13321.03,15848.31,14222.53,15877.64,12852.72,12599.29,13126.03,15215.39,15119.1,19498.77,25303.11,27875.4,29238.04,29765.83,28726.023,22848.552,21230.511,22667.905,10877.771,11442.237,10899.35,7418.721,6997.693,10443.088,7382.135,10492.23,11736.397,11667.58,10946.785,10733.337,12263.205,10295.63
Risk Weighted Amount for Operational Risk,18683.512,19283.007,19283.007,7516.069,12262.718,21750.757,21756.853,25314.667,25247.329,25769.516,30768.947,37195.689,36845.985,38871.778,38921.026,43655.976,44634.802,44568.865,44568.865,47002.107,46022.08,47486.844,47295.374,44338.069,47985.62,44251.694,45866.44,48297.38,40493.63,51956.32,54180.86,49883.34,53757.4,57001.52,60236.7,64728.85,65982.93,68738,56395.586,59027.075,55115.467,56983.62,56357.729,57233.652,54332.724,55796.628,56933.681,62428.648,64754.25,63745.808,66275.318,69359.791,74791.434,77750.536,80458.53,85776.379
Total Risk Weighted Assets,134019.663,136516.802,135428.377,76230.548,135865.73,144951.905,143058.811,141897.359,145287.98,147779.269,192006.389,202269.793,209438.174,216091.852,224596.523,246606.378,250934.805,252023.809,255016.996,263880.297,267252.58,275259.845,269811.358,282490.123,294016.698,300884.016,309104.761,345864.052,345636.928,368475.613,396216.72,321973.544,341079.578,347548.704,372867.295,388036.878,412883.419,434296.532,429736.87,438099.73,460309.803,475059.935,459130.377,475824.455,483686.553,493358.137,496178.635,517657.271,533628.258,547622.469,571505.318,602683.27,622677.505,644548.699,661720.113,666509.62

* Provisional Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

